# name                   	type      	redshift  	max_date  	discovery_date
#<U25                    	<U10      	<10       	<10       	<10       
2024aef                  SLSN-I    0.2       unknown             2024-01-14          
2023qvl                  SLSN-I    0.4365    unknown             2023-08-26          
2019hcc                  SLSN-I    0.044     unknown             unknown             
2019pud                  SLSN-I    0.1136    2019-09-26          2019-08-30          
2021bnw                  SLSN-I    0.0861    2021-02-25          2021-01-10          
2024fwk                  SLSN-I    0.15      unknown             2024-04-06          
SSS120810-231802-560926  SLSN-I    0.17      unknown             unknown             
2022vxc                  SLSN-I    0.1       unknown             2022-07-27          
PTF10vqv                 SLSN-I    0.452     2010-09-29          2010-08-16          
2019szu                  SLSN-I    0.213     2020-01-17          2019-08-26          
2023cmx                  SLSN-I    0.22      2023-04-11          2023-01-06          
2024afav                 SLSN-I    0.072     unknown             2024-12-12          
2024aegq                 SLSN-I    0.133     unknown             2024-11-20          
2018ffj                  SLSN-I    0.234     2018-08-03          2018-07-08          
2023ous                  SLSN-I    0.161     unknown             2023-08-07          
2023vco                  SLSN-I    0.167     unknown             2023-10-16          
2022abdu                 SLSN-I    0.13      2022-11-30          2022-11-10          
iPTF13ehe                SLSNR     0.3434    2014-01-13          2013-10-12          
2017egm                  SLSN-I    0.0307    2017-07-28          2017-05-29          
2022abtm                 SLSN-I    0.308     unknown             2022-11-13          
2022npq                  SLSN-I    0.26      2022-08-25          2022-06-08          
PTF09cnd                 SLSN-I    0.258     2009-09-16          2009-08-07          
PS15br                   SLSN-I    0.101     unknown             2015-02-15             
2018bym                  SLSN-I    0.267     2018-06-07          2018-04-14          
2024rmj                  SLSN-I    0.14      unknown             2024-08-04          
2022acsx                 SLSN-I    0.292     2023-01-14          2022-11-14          
PS1-12cil                SLSN-I    0.32      2013-01-08          2012-12-01          
2019itq                  SLSN-I    0.481     2019-07-14          2019-05-28          
2025izy                  SLSN-I    0.1734    unknown             2025-04-22          
2024adfq                 SLSN-I    0.2285    unknown             2024-11-22          
2025abkv                 SLSN-I    0.17      unknown             2025-09-30          
2020ank                  SLSN-I    0.22      2020-02-17          2020-01-14          
2021lwz                  SLSN-I    0.065     2021-05-18          2021-05-07          
2025owt                  SLSN-I    0.2563    unknown             2025-06-24          
2011ke                   SLSN-I    0.143     2011-04-28          2011-03-29          
2018fcg                  SLSN-I    0.101     2018-08-28          2018-08-04          
2021yrp                  SLSN-I    0.3       2021-10-02          2021-08-18          
PS1-11afv                SLSN-I    1.407     2011-06-27          2011-04-21          
2024adhq                 SLSN-I    0.109     unknown             2024-11-05          
2016ard                  SLSN-I    0.2025    2016-03-06          2016-02-20          
2018lzv                  SLSN-I    0.434     2018-08-11          2018-05-30          
2025inr                  SLSN-I    0.176     unknown             unknown             
2020ful                  SLSN-I    0.15      unknown             unknown             
